Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
La Espada de los Cincuenta Años,2026-01-08,"Danielewski, Mark Z.",Vinted,Physical,Wallet,11.52,Owned,,
Devilman The First 1,2025-12-29,"Nagai, Go",Wallapop,Physical,Wallet,17.24,Owned,,
Devilman The First 2,2025-12-29,"Nagai, Go",Wallapop,Physical,Wallet,17.24,Owned,,
Devilman The First 3,2025-12-29,"Nagai, Go",Wallapop,Physical,Wallet,17.24,Owned,,
JoJo Part 8 JoJolion 17,2025-12-26,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 18,2025-12-26,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
Así Habló Kishibe Rohan 3,2025-12-26,"Araki, Hirohiko",fnac,Physical,Myself,9.00,Owned,,
Don Quijote de la Mancha,2025-12-23,"Cervantes, Miguel de",found,Physical,Gift,0.00,Off-site,,
Las Mil y Una Noches,2025-12-23,...Varios,found,Physical,Gift,0.00,Off-site,,
Raíces,2025-12-23,"Haley, Alex",found,Physical,Gift,0.00,Off-site,,
Asesinato en el Orient Express,2025-12-23,"Christie, Agatha",found,Physical,Gift,0.00,Off-site,,
Crónica de una muerte anunciada,2025-12-23,"García Márquez, Gabriel",found,Physical,Gift,0.00,Off-site,,
El amor en los tiempos de cólera,2025-12-23,"García Márquez, Gabriel",found,Physical,Gift,0.00,Off-site,,
Poética y Poesía 05,2025-12-20,"Marzal, Carlos",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 12,2025-12-20,"Benítez Reyes, Felipe",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 18,2025-12-20,"Munárriz, Jesús",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 19,2025-12-20,"González-Iglesias, Juan Antonio",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 25,2025-12-20,"García Valdés, Olvido",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 32,2025-12-20,"Janés, Clara",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Robinson Crusoes,2025-12-20,"Defoe, Daniel",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Los viajes de Gulliver,2025-12-20,"Swift, Jonathan",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
El Diario de Anne Frank,2025-10-07,"Hesse, María",El Corte Inglés,Physical,Myself,5.95,Owned,,Bought with gift card.
El Acto de Crear: Una Manera de Ser,2025-09-27,"Rubin, Rick",fnac,Physical,Mom,20.85,Owned,,Birthday gift from mom.
Doom Guy: Mi Vida en Primera Persona,2025-09-25,"Romero, John",SDCCM,Physical,Dad,30.00,Owned,,
Alas de Hierro,2025-08-26,"Yarros, Rebecca",El Corte Inglés,Physical,Gift,22.90,Owned,,Birthday gift from friends.
Alas de Onix,2025-08-26,"Yarros, Rebecca",El Corte Inglés,Physical,Gift,22.90,Owned,,Birthday gift from friends.
Alas de Sangre,2025-08-26,"Yarros, Rebecca",El Corte Inglés,Physical,Gift,22.90,Owned,,Birthday gift from friends.
JoJo Part 8 JoJolion 15,2025-08-21,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 16,2025-08-21,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
Alicia en el País de las Maravillas,2025-07-12,"Carroll, Lewis",Livraria Lello,Physical,Myself,15.95,Owned,,
El Arte de la Guerra,2025-07-12,"Tzu, Sun",Livraria Lello,Physical,Myself,15.95,Owned,,
El Principito,2025-07-07,"Saint-Exupery, Antoine de",Livraria Lello,Physical,Myself,15.95,Owned,,Technically belongs to mom.
Veil 6,2025-05-25,Kotteri!,El Corte Inglés,Physical,Mom,12.95,Owned,,
House of Leaves,2025-05-19,"Danielewski, Mark Z.",Vinted,Physical,Wallet,15.05,Owned,,
Only Revolutions,2025-05-15,"Danielewski, Mark Z.",Wallapop,Physical,Wallet,19.30,Owned,,
JoJo Part 8 JoJolion 13,2025-05-03,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
JoJo Part 8 JoJolion 14,2025-05-03,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
Veil 5,2025-05-03,Kotteri!,fnac,Physical,Myself,12.30,Owned,,
Fire Punch 4,2025-04-21,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
Fire Punch 5,2025-04-21,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
Fire Punch 6,2025-04-21,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
Fire Punch 7,2025-04-21,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
JoJo Part 8 JoJolion 11,2025-04-05,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
JoJo Part 8 JoJolion 12,2025-04-05,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
Neon Genesis Evangelion 1,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 2,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 3,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 4,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 5,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 6,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 7,2025-04-04,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
"Tierra, mar y aire",2025-04-03,"Campos Doménech, Patricia",Wallapop,Physical,Wallet,10.68,Owned,,
El Viaje de Shuna,2025-03-27,"Miyazaki, Hayao",Librería Pop Art,Physical,Myself,29.40,Owned,,
Fire Punch 2,2025-03-13,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Fire Punch 3,2025-03-13,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Quiérete mucho,2025-03-09,"Martín, Gabriel J.",PDFDrive,Digital,Myself,0.00,Owned,,
Veil 4,2025-03-02,Kotteri!,fnac,Physical,Myself,12.30,Owned,,
Adolf (Nueva Edición) 1,2025-02-11,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 2,2025-02-11,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 3,2025-02-11,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 4,2025-02-11,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 5,2025-02-11,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Las Mujeres que Aman Demasiado,2025-02-11,"Norwood, Robin",found,Physical,Myself,0.00,Owned,,Found on top of a car.
Maus (Edición 40 Aniversario),2025-02-11,"Spiegelman, Art",Wallapop,Physical,Wallet,8.22,Owned,,
Veil 3,2025-01-25,Kotteri!,fnac,Physical,Myself,12.95,Owned,,
21 Lessons for the 21st Century,2025-01-08,"Harari, Yuval Noah",Amazon,Physical,Mom,12.74,Owned,,
Homo Deus: A Brief History of Tomorrow,2025-01-08,"Harari, Yuval Noah",Amazon,Physical,Mom,12.74,Owned,,
Sapiens: A Brief History of Humankind,2025-01-08,"Harari, Yuval Noah",Amazon,Physical,Mom,12.74,Owned,,
JoJo Part 8 JoJolion 10,2025-01-04,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
