Album Title,Album Artist,Date Listened,Group,Genre,Date Released,Rating,Notes
GNX,Kendrick Lamar,2025-11-11,Hip Hop,Conscious Hip Hop,2024-11-22,1,
Hold Me In Your Arms,Rick Astley,2025-11-11,Pop,Dance,1988-11-26,1,
More Than Just a Dream,Fitz and the Tantrums,2025-11-09,Pop,Indie Pop,2013-05-07,1,
Venice,Anderson .Paak,2025-11-09,Hip Hop,R&B,2014-10-28,1,
Mr. Morale & the Big Steppers,Kendrick Lamar,2025-11-08,Hip Hop,Conscious Hip Hop,2022-05-13,10,
I Get Wet,Andrew W. K.,2025-11-06,Rock,Hard Rock,2001-11-13,1,Not saved to library.
Singularity,Divide Music,2025-11-04,Metal,Alternative Metal,-,1,
The Works,Queen,2025-11-04,Rock,Hard Rock,1984-02-20,1,
Hot Space,Queen,2025-10-31,Rock,Funk,1982-05-04,1,
Appetite for Destruction,Guns N' Roses,2025-10-30,Rock,Hard Rock,1987-07-21,1,
Flash Gordon,Queen,2025-10-30,Rock,Rock,1980-12-08,1,Not saved to library.
The Ritual,Testament,2025-10-29,Metal,Thrash Metal,1992-05-12,1,
Heaven and Hell,Black Sabbath ,2025-10-26,Metal,Heavy Metal,1980-04-18,1,
Sabbath Bloody Sabbath,Black Sabbath,2025-10-23,Metal,Heavy Metal,1973-11-01,1,
Dream Evil,Dio,2025-10-23,Metal,Heavy Metal,1971-08-06,1,
Down To Earth,Rainbow ,2025-10-23,Metal,Hard Rock,2025-10-01,1,
Vol. 4,Black Sabbath ,2025-10-19,Metal,Doom Metal,1972-09-01,1,
Legends,Sabaton,2025-10-18,Metal,Power Metal,2025-10-17,1,
Powerslave,Iron Maiden,2025-10-16,Metal,Heavy Metal,1984-09-03,1,
Killers,Iron Maiden,2025-10-11,Metal,Heavy Metal,1981-02-02,1,
Iron Maiden,Iron Maiden ,2025-10-10,Metal,Heavy Metal,1980-04-11,1,
Closer,Joy Division,2025-10-10,Pop,New Wave,1980-07-18,1,
Don't Break the Oath,Mercyful Fate,2025-10-10,Metal,Heavy Metal,1984-09-07,1,Not saved to library.
Fight Like A Girl,Emily Autumn,2025-10-06,Metal,Progressive Rock,2012-07-24,1,
The Stage (Deluxe Edition),Avenged Sevenfold,2025-10-05,Metal,Heavy Metal,2016-10-28,1,Saved the regular version.
Nostradamus,Judas Priest,2025-10-05,Metal,Progressive Metal,2008-06-16,1,
MILDRED,Grim Salvo,2025-09-28,Metal,Trap Metal,-,1,
The Game,Queen,2025-09-28,Rock,Rock,1980-06-30,1,
Sheer Heart Attack,Queen,2025-09-20,Rock,Rock,1974-11-08,1,
Queen II,Queen,2025-09-13,Rock,Rock,1974-03-08,1,
Bloodlust,Body Count,2025-09-09,Metal,Thrash Metal,2017-03-31,1,
One Days As A Lion,One Day As A Lion,2025-09-04,Metal,Rap Metal,2008-07-18,1,
The Strange Case Of...,Halestorm,2025-08-25,Metal,Alternative Metal,2012-04-10,1,
Queen,Queen,2025-08-17,Rock,Rock,1973-07-13,1,
Elf,Elf,2025-08-11,Rock,Hard Rock,1972-08-01,1,Not saved to library.
Renegades,Rage Against the Machine,2025-08-07,Metal,Rap Metal,2000-12-05,1,
Evil Empire,Rage Against the Machine,2025-08-05,Metal,Rap Metal,1996-04-16,1,
In the Aeroplane Over the Sea,Neutral Milk Hotel,2025-08-03,Rock,Indie Rock,1998-02-10,1,Not saved to library.
Master of Reality,Black Sabbath,2025-07-28,Metal,Doom Metal,1971-08-06,1,
Paranoid,Black Sabbath,2025-07-24,Metal,Heavy Metal,1970-09-18,1,
I've Tried Everything But Therapy (Complete),Teddy Swims,2025-07-23,Pop,Soul,-,1,
TBTV,zaydante,2025-07-23,Hip Hop,Hip Hop,-,1,From the files' creation date.
Black Sabbath,Black Sabbath,2025-07-22,Metal,Heavy Metal,1970-02-13,1,
Damn.,Kendrick Lamar,2025-07-20,Hip Hop,Conscious Hip Hop,2017-04-14,1,
Meteora,Linkin Park,2025-07-19,Metal,Nu Metal,2003-03-25,1,
Fallen,Evanescence,2025-07-13,Rock,Emo Rock,2003-03-04,1,
Even in Arcadia,Sleep Token,2025-07-08,Metal,Post Metal,2025-05-09,1,
To Pimp a Butterfly,Kendrick Lamar,2025-07-06,Hip Hop,Conscious Hip Hop,2012-03-15,1,
Section.80,Kendrick Lamar,2025-07-02,Hip Hop,Conscious Hip Hop,2011-07-02,1,
AM,Arctic Monkeys,2025-06-29,Rock,Indie Rock,2013-09-06,1,
Made in Heaven,Queen,2025-06-26,Rock,Rock,1995-11-06,1,
Nu Delhi,Bloodywood,2025-06-24,Metal,Folk Metal,2025-03-21,1,
Songs from the Big Chair,Tears for Fears,2025-06-19,Pop,New Wave,1985-02-25,1,
American Idiot,Green Day,2025-06-17,Rock,Hard Rock,2004-09-21,1,
Mothership ,Led Zeppelin,2025-06-13,Rock,Punk Rock,2007-11-12,1,
Probot,Probot,2025-06-07,Metal,Thrash Metal,2004-02-10,1,Not saved to library.
A Star-Crossed Wasteland,In This Moment,2025-05-29,Rock,Metalcore,2010-07-09,1,
The Dream,In This Moment,2025-05-28,Rock,Alternative Metal,2008-09-30,1,
Beautiful Tragedy,In This Moment,2025-05-28,Rock,Metalcore,2007-03-20,1,
Rage Against the Machine,Rage Against the Machine,2025-05-28,Metal,Rap Metal,1992-11-06,1,
Hybrid Theory,Linkin Park,2025-05-27,Metal,Nu Metal,2000-10-24,1,
Esto Me Huele a Éxito,Yordis Larrazabal,2025-05-27,Latin,Salsa,-,1,
Opus Eponymous,Ghost,2025-05-24,Metal,Heavy Metal,2010-10-18,1,
Subways Of Your Mind,FEX,2025-05-13,Rock,New Wave,-,1,
Avenged Sevenfold,Avenged Sevenfold,2025-05-11,Metal,Heavy Metal,2007-10-30,1,
Them Crooked Vultures ,Them Crooked Vultures,2025-05-10,Rock,Punk Rock,-,1,
Queensrÿche (EP),Queensrÿche,2025-05-09,Metal,Heavy Metal,1982-01-01,1,
I've Tried Everything But Therapy (Part 2),Teddy Swims,2025-05-08,Pop,Soul,-,1,
Unknown Pleasures,Joy Division,2025-05-02,Pop,New Wave,1979-06-15,1,
I've Tried Everything But Therapy (Part 1),Teddy Swims,2025-04-28,Pop,Soul,-,1,
Point of Entry,Judas Priest,2025-04-11,Rock,Hard Rock,1981-02-27,1,
Sacred Heart,Dio,2025-04-06,Metal,Heavy Metal,1985-08-12,1,
