Title,#,Writer,Translator,Genre,F,Status,Day Started,Day Finished,Country,Age Group,Length,Format,Binding,Pages,Released,Publisher,Language,Orginal Language,ISBN,Date,Location,Paid,Price,Acquired,Kept,Sold,Notes
Anatomía de un Instante,1,"Cercas, David",,History,Non-Fiction,Not Read,,,Spain,Adult,Novel,Physical,Paperback,437,,deBolsillo,Spanish,Spanish,978-84-9062-349-7,2023-06-06,Mercadillo,Myself,4,Used,Owned,,
"Console Wars: Sega, Nintendo, y la batalla que definió a una generación",2,"Harris, Blake J.","Rodríguez Álvarez, Fernando",History,Non-Fiction,Re-start,...,,United States,Middle,Novel,Physical,Paperback,604,,Héroes de Papel,Spanish,English,987-84-2017649-23-4,2020-08-24,Amazon,Gift,20.85,New,Owned,,
La Ruptura Sentimental: Del amor al duelo,3,"Chaves Sánchez, Álvaro J. / Tomé Merchan, J. Diego / Castillo Lindell, Simón",,Psychology,Non-Fiction,Not Read,,,Spain,Adult,Essay,Physical,Paperback,182,,Formación Alcalá,Spanish,Spanish,978-84-99768-00-7,2017-06-06,.given away,Myself,0,New,Owned,,
Coerción: Por qué hacemos lo que nos dicen,4,"Rushkoff, Douglas","García Piñeiro, Juan José",Psychology,Non-Fiction,Re-start,...,,United States,Adult,Essay,Physical,Paperback,321,,La Liebre de Marzo,Spanish,English,978-84-87403-49-2,2022-06-06,Amazon,Myself,14,New,Owned,,
Sapiens: A Brief History of Humankind,5,"Harari, Yuval Noah","Harari, Yuval Noah",Sociology,Non-Fiction,Not Read,,,Israel,Adult,Essay,Physical,Paperback,498,,Vintage,English,Hebrew,978-1-529-11563-5,2025-08-01,Amazon,Mom,12.74,New,Owned,,
Homo Deus: A Brief History of Tomorrow,6,"Harari, Yuval Noah","Harari, Yuval Noah",Sociology,Non-Fiction,Not Read,,,Israel,Adult,Essay,Physical,Paperback,513,,Vintage,English,Hebrew,978-1-529-11564-2,01-08-2025,Amazon,Mom,12.74,New,Owned,,
21 lessons for the 21st Century ,7,"Harari, Yuval Noah",,Sociology,Non-Fiction,Not Read,,,Israel,Adult,Essay,Physical,Paperback,417,,Vintage,English,English,978-1-529-11565-9,01-08-2025,Amazon,Mom,12.74,New,Owned,,
Why Socialism?,8,"Einstein, Albert",,Economy,Non-Fiction,Finished,04-13-2025,04-13-2025,United States,Adult,Essay,Digital,ebook,3,,Monthly Review,English,English,none,04-06-2025,PDFDrive,Myself,0,DL,Downloaded,,
Eres el Príncipe de Todos Mis Palacios,9,"Calvo, David",,Biography,Fiction,Finished,09-15-2024,09-26-2024,Spain,Adult,Poetry,Physical,Paperback,157,,Martínez Roca,Spanish,Spanish,978-84-270-4364-0,05-06-2019,El Corte Inglés,Myself,14,New,Owned,,
"Tierra, Mar y Aire: El testimonio de una mujer que quiso cambiar el mundo",10,"Campos Doménech, Patricia",,Biography,Non-Fiction,Not Read,,,Spain,Adult,Novel,Physical,Paperback,190,,Roca Editorial,Spanish,Spanish,978-84-16498-12-3,04-03-2025,Wallapop,Wallet,10.68,Used,Owned,,
