Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
La Espada de los Cincuenta Años,01-08-26,"Danielewski, Mark Z.",Vinted,Physical,Wallet,11.52,Owned,,
Devilman The First 1,12-29-25,"Nagai, Go",Wallapop,Physical,Wallet,17.24,Owned,,
Devilman The First 2,12-29-25,"Nagai, Go",Wallapop,Physical,Wallet,17.24,Owned,,
Devilman The First 3,12-29-25,"Nagai, Go",Wallapop,Physical,Wallet,17.24,Owned,,
JoJo Part 8 JoJolion 17,12-26-25,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 18,12-26-25,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
Así Habló Kishibe Rohan 3,12-26-25,"Araki, Hirohiko",fnac,Physical,Myself,9.00,Owned,,
Don Quijote de la Mancha,12-23-25,"Cervantes, Miguel de",found,Physical,Gift,0.00,Off-site,,
Las Mil y Una Noches,12-23-25,...Varios,found,Physical,Gift,0.00,Off-site,,
Raíces,12-23-25,"Haley, Alex",found,Physical,Gift,0.00,Off-site,,
Asesinato en el Orient Express,12-23-25,"Christie, Agatha",found,Physical,Gift,0.00,Off-site,,
Crónica de una muerte anunciada,12-23-25,"García Márquez, Gabriel",found,Physical,Gift,0.00,Off-site,,
El amor en los tiempos de cólera,12-23-25,"García Márquez, Gabriel",found,Physical,Gift,0.00,Off-site,,
Poética y Poesía 05,12-20-25,"Marzal, Carlos",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 12,12-20-25,"Benítez Reyes, Felipe",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 18,12-20-25,"Munárriz, Jesús",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 19,12-20-25,"González-Iglesias, Juan Antonio",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 25,12-20-25,"García Valdés, Olvido",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Poética y Poesía 32,12-20-25,"Janés, Clara",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Robinson Crusoes,12-20-25,"Defoe, Daniel",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
Los viajes de Gulliver,12-20-25,"Swift, Jonathan",found,Physical,Myself,0.00,Owned,,Found on top of a recycling box.
El Diario de Anne Frank,10-07-25,"Hesse, María",El Corte Inglés,Physical,Myself,5.95,Owned,,Bought with gift card.
El Acto de Crear: Una Manera de Ser,09-27-25,"Rubin, Rick",fnac,Physical,Mom,20.85,Owned,,Birthday gift from mom.
Doom Guy: Mi Vida en Primera Persona,09-25-25,"Romero, John",SDCCM,Physical,Dad,30.00,Owned,,
Alas de Hierro,08-26-25,"Yarros, Rebecca",El Corte Inglés,Physical,Gift,22.90,Owned,,Birthday gift from friends.
Alas de Onix,08-26-25,"Yarros, Rebecca",El Corte Inglés,Physical,Gift,22.90,Owned,,Birthday gift from friends.
Alas de Sangre,08-26-25,"Yarros, Rebecca",El Corte Inglés,Physical,Gift,22.90,Owned,,Birthday gift from friends.
